,Filename,text,language
0,kan_0001.wav,America Samyuktha samsthana samvidhana dinacharane,Kannad
0,kan_0002.wav,Caribbean samudrada purv Bhag dalli iruva 123 par rashtra,Kannad
0,kan_0003.wav,Uttar America Kannada Chika Madhu atyant janasankya,Kannad
0,kan_0004.wav,aur aksharagalu hi gaye conceited aur aksharagalu,Kannad
0,kan_0005.wav,Shivarajkumar Awara Patni hesaru Geeta Shivarajkumar,Kannad
0,kan_0006.wav,Philippines ganaraja agneya Disha,Kannad
0,kan_0007.wav,audyogik ka Kshetra dalli Aawara Ananya,Kannad
0,kan_0008.wav,America the Washington Delhi river Kaveri Sanskriti ka some stare Adhyaksh daru,Kannad
0,kan_0009.wav,Mysore Vishwavidyalaya bharatada pramuka Vishwavidyalay,Kannad
0,kan_0010.wav,template andar Nenu prashna Telugu barabahude,Kannad
0,kan_0011.wav,Vandu Sarkari prathamika Mattu prouda shaale,Kannad
0,kan_0012.wav,Samyukta Karnataka karmaveera Kasturi Patrika Gali ke sampadak Karegi daru,Kannad
0,kan_0013.wav,jeevanahalli kellava Matra hili Kodala geet,Kannad
0,kan_0014.wav,matar Kalu hesarina lekhan nimbu prarambh,Kannad
0,kan_0015.wav,mogal simhasana domale sambandhi,Kannad
0,kan_0016.wav,itihasik aavegi prasiddh Navada Anaika sthalagalu Hindi mein,Kannad
0,kan_0017.wav,other in the footer horror Bandhu,Kannad
0,kan_0018.wav,Churchgate na Pradhan Railway kachery,Kannad
0,kan_0019.wav,Janapada Janapada Academy prashasti Rajyotsava prashasti mangalada prashasti galu,Kannad
0,kan_0020.wav,Madikeri Kodagu Zilla Urdu taluku Jila Kendra,Kannad
0,kan_0021.wav,Paschim Bangal ka Pratham Mahila mukhyamantri,Kannad
0,kan_0022.wav,Kannada chalanachitra nirdeshak AV Sheshagiri Rao,Kannad
0,kan_0023.wav,moon Lata Uttara Paschim Madhya Madhya Europe,Kannad
0,kan_0024.wav,are Chitra gallon Kannada Wikipedia dalli upyog Sudhu Sulabha,Kannad
0,kan_0025.wav,Nirmala yah prashn putter Bahra oldje prayatna,Kannad
0,kan_0026.wav,prachina Chitradurga PHD mahaprabandhak,Kannad
0,kan_0027.wav,MI door deliver karnatakada Urdu Itihaas,Kannad
0,kan_0028.wav,yahoodi Dharma delena Pramukh dharmika Granth,Kannad
0,kan_0029.wav,Shri Devara Jyoti Gaddi da geleyaru professor Narasimha 4 Kasturi Ranga 402,Kannad
0,kan_0030.wav,Everest Sangeeta nirdeshana da modala Kannada Chitra,Kannad
0,kan_0031.wav,Rajkumar Jeevana Jago Sadhana kuritu pralaad bareda bangarada manushya atyant Janapriya pustak,Kannad
0,kan_0032.wav,idhar Ali hello lekhak Aru Sanskrit Mein To kannadadalli,Kannad
0,kan_0033.wav,Vishnuvardhan abhineta kelavu prasiddh chitragalu,Kannad
0,kan_0034.wav,Aadarsh Inter Vidya Mana Balu aparoopa,Kannad
0,kan_0035.wav,Eid halmidi shasana n do prasiddh,Kannad
0,kan_0036.wav,Maurya Samrajya da-ati prasiddh Chakravarti Samrat Ashoka adalita,Kannad
0,kan_0037.wav,Kannada Janak Priya lekhak ki Usha navarathnaram,Kannad
0,kan_0038.wav,hindu dharm Ada souramana Panchangam,Kannad
0,kan_0039.wav,Idhu Telugu hadaya sadasya Anubhava,Kannad
0,kan_0040.wav,are there other Bhagya aralikatti Uttam,Kannad
0,kan_0041.wav,Hisar uska papa ji ki Puta da avashya Kathe aaega iruvathu,Kannad
0,kan_0042.wav,Hari Hara Ooru Davanagere Jile Bondhu taluku Kendra,Kannad
0,kan_0043.wav,bgl Swamy devaru bareda pustaka,Kannad
0,kan_0044.wav,Dakshina Kannada Jilla Urdu Dharmik Katha,Kannad
0,kan_0045.wav,Idhu Kannada Wikipedia samuday Putta,Kannad
0,kan_0046.wav,Eid 1 2 Sharan bus mein Lohar,Kannad
0,kan_0047.wav,Sikh Dharma da Bhagya lekhanagar Warga,Kannad
0,kan_0048.wav,Bala Subramanyam Manjula Gururaj Lata hamsalekha,Kannad
0,kan_0049.wav,Usha navarathnaram Aawara Zarina Kadambari adaritha,Kannad
0,kan_0050.wav,say na Puraskar Serena lekhan navannu new prarambh,Kannad
0,kan_0051.wav,Akruti Dr shivarama karanth Tru badauda samajika Kadambari Galli Urdu,Kannad
0,kan_0052.wav,Uttar dalli Bheema Nadi Madhu Dakshina Delhi Krishna Nagar Hari Uttar,Kannad
0,kan_0053.wav,Kannada Chitrangada in Janapriya nashta Shrinath samaipathu Bandhu,Kannad
0,kan_0054.wav,email in a year to salugalu Namma nimma Charcha,Kannad
0,kan_0055.wav,Marathi in the house taiyar ke Bhagya sanshodhan aduthu,Kannad
0,kan_0056.wav,Bharata athva India Indu karayalle padva Dakshin Disha,Kannad
0,kan_0057.wav,Chada Chada Raja Kuda Vishnuvardhan and Indu avaru Tamma samarthi second,Kannad
0,kan_0058.wav,Rajkumar Kannada Pramukh natak,Kannad
0,kan_0059.wav,Hassan ajile aithihasika dharmika Pravasi Tana,Kannad
0,kan_0060.wav,Shivamogga Jilla Sagara Taluk,Kannad
0,kan_0061.wav,modala Mathu Mysore Yuddha,Kannad
0,kan_0062.wav,Uttar order Himalaya Pradesh Delhi debate Sanskriti chapu Kandu Varudu,Kannad
0,kan_0063.wav,Upendra nirdeshana da Kannada chalanachitra Om Bhagya Mahiti ke ilake,Kannad
0,kan_0064.wav,matar Kalu padovano lekhan Agali ki,Kannad
0,kan_0065.wav,Mugal Samrajya Zarina lekhan Nimbu prarambh,Kannad
0,kan_0066.wav,Bengaluru Reena Bhartiya Vigyan Sansthan vinyasa Pardesi 2,Kannad
0,kan_0067.wav,prant sarkarada athyunnatha nagarika Puraskar,Kannad
0,kan_0068.wav,America sanyukt Sansthan Rashtrapati Galu America deshada sarkarada Adhyaksh,Kannad
0,kan_0069.wav,Ananya Ondu Kannada bhashe kapda,Kannad
0,kan_0070.wav,Shiva sodhara truck yadi Shri MN krishnarayar,Kannad
0,kan_0071.wav,andar andar abhipraya Aawa Kadali Puthiya ki Indu Arthur,Kannad
0,kan_0072.wav,Portugal deshada athva muladha Jana,Kannad
