,Filename,text,language
0,tel_0001.wav,Aa Tarvatha Hyderabad ko Badri,Telegu
0,tel_0002.wav,yah Gramam Lo prajala Pradhan Navratri pravachan,Telegu
0,tel_0003.wav,quthbullapur Andhra Pradesh rashtram Loni Rangareddy Jilla mandalam,Telegu
0,tel_0004.wav,Naina Pita Puraskar and grahita viswanatha Satyanarayana,Telegu
0,tel_0005.wav,hi grammar course ki nadi Madhya Marg block Kala Dun,Telegu
0,tel_0006.wav,wicked kevalam Hyderabad matrame Pathshala saukaryam,Telegu
0,tel_0007.wav,Wikipedia sabyulu Ravichandra Mario Khas Babu Mario ki pidiya ka aadharit,Telegu
0,tel_0008.wav,railu Ravana vyavastha parimanam kramam Lo deshala Javed Hindi,Telegu
0,tel_0009.wav,Hindu Sangam Makka ko Lala Kota mein,Telegu
0,tel_0010.wav,Vijay Singh Ji ki film ko pattern De,Telegu
0,tel_0011.wav,Jila Lo Agra Mala cutting,Telegu
0,tel_0012.wav,dinner dwara chuttu pakkala Parikrama Logon Ne Tripura jaruguthunnadi,Telegu
0,tel_0013.wav,Kabhi Asan Drishti Mario play the star,Telegu
0,tel_0014.wav,ekgaon Delhi Bengaluru Hyderabad Mandi near me,Telegu
0,tel_0015.wav,udaharan ko Wikipedia to login Pukara Vyas ke jilon ke Charcha,Telegu
0,tel_0016.wav,Madhushala Ananda Undi,Telegu
0,tel_0017.wav,alagey bommalu upload cheyali,Telegu
0,tel_0018.wav,bommalu vade vidhanam pay Jila na sari Pandey,Telegu
0,tel_0019.wav,Euro Vijayawada chala dhagara,Telegu
0,tel_0020.wav,Jeene prastut import Muscat leather Pata Nagar Manikonda antaru,Telegu
0,tel_0021.wav,Kadapa jilla Andhra Pradesh Loni Jilla,Telegu
0,tel_0022.wav,Wikipedia lugadi pratyek licence padhati,Telegu
0,tel_0023.wav,kalidasu per Sanskriti Kavi ka karta,Telegu
0,tel_0024.wav,desamlo prasidha Tamila senior darshakudu ke bhalchandra Anaconda Bandhan Hindi,Telegu
0,tel_0025.wav,Hindu Kante Communist Party gurinchi vyasam,Telegu
0,tel_0026.wav,vayasam Kaminey Jamane rajkiy Mario samajika siddhantam gurinchi matrame,Telegu
0,tel_0027.wav,Chitram Lo Akkineni Nageswara Rao Nageswara Rao,Telegu
0,tel_0028.wav,Kannada Karnataka Rashtra adhikara bhasha,Telegu
0,tel_0029.wav,emotion Wikipedia ko sambandhit Mausam,Telegu
0,tel_0030.wav,Aaina bheji financement aalochana,Telegu
0,tel_0031.wav,men rashtram Lo Diwakar engineering kalasala,Telegu
0,tel_0032.wav,eppudu Miriyala Sant kam chest Mein Katha Sant kam Karna Hindi,Telegu
0,tel_0033.wav,Kabali neruppu Rangoli Mukul tappa,Telegu
0,tel_0034.wav,Rani Vari gurinchi ninadalu chala takkuva,Telegu
0,tel_0035.wav,e Gramam Lo Hari pradhana Panta,Telegu
0,tel_0036.wav,Varalakshmi vratham Anna pageelu Varalakshmi vratham cinema Varalakshmi vratham Pandaga,Telegu
0,tel_0037.wav,Walker with Amina boutique Aacharya,Telegu
0,tel_0038.wav,Ke jilo Mere chahane Wale Dunga Prayag Aalu chahie Tum Wikipedia lo avasaram,Telegu
0,tel_0039.wav,dinner dwara ka Prathmik ka Pathshala ka high school ka IDBI Net covid-19,Telegu
0,tel_0040.wav,America lo ATI Prachin na Prabhu to Sanskriti ka Sanstha,Telegu
0,tel_0041.wav,today Army Aakhri satyata Pratibha,Telegu
0,tel_0042.wav,kostha Andhra Telangana Mario Rayalaseema,Telegu
0,tel_0043.wav,the girl Loni railway station Rajahmundry lega Kakinada,Telegu
0,tel_0044.wav,Telugu cinema Rangam Lo gummadi gummadi Venkateswara Rao,Telegu
0,tel_0045.wav,Kota Tirupur Godavari Jilla ramavaram Mandalam Gramam,Telegu
0,tel_0046.wav,Gramam Lo prathamika patashale low mood colour,Telegu
0,tel_0047.wav,Gramam Lo Sarana Manchi Neethi part 2,Telegu
0,tel_0048.wav,Adavilo Chala Rakha Mario pakshulu,Telegu
0,tel_0049.wav,kulkacharla Andhra Pradesh rashtram Loni Rangareddy Jilla mandalam,Telegu
0,tel_0050.wav,Panchayat Raj Shaka website Lo Kadapa jilla taluka vivaralu,Telegu
0,tel_0051.wav,vivaralu de sailaja beta Sampada Anjana vistarana Gramam lo,Telegu
0,tel_0052.wav,Maroon a software award Daru Sahi,Telegu
0,tel_0053.wav,main Krishi ki mein pratyek ka Abhinandan alone,Telegu
0,tel_0054.wav,Tirupati Vijayawada Chennai Hyderabad to Kadapa Mungaoli Madhya Pradesh nityam,Telegu
0,tel_0055.wav,Telugu songs from Lo Hyderabad,Telegu
0,tel_0056.wav,Saudi Arabia rajkiy Patil Siddham,Telegu
0,tel_0057.wav,Nandamuri Akkineni saree collection natinchina subbarow Chitram Pelli Pilla,Telegu
0,tel_0058.wav,Mario Kart Babu Mario Wikipedia kurti per aadharit kam,Telegu
0,tel_0059.wav,Divya Bharti Ela cheyali Lo YouTube 12 vivaralu,Telegu
0,tel_0060.wav,kanyasulkam natakam gurajada Apparao Rasina sangikanatakam,Telegu
0,tel_0061.wav,Apollo mission Tamila kanipistundi,Telegu
0,tel_0062.wav,dinner kendram Delhi login,Telegu
0,tel_0063.wav,Padyalu Rider Ne ki upyog inch Vidhana Ne Chandu antro,Telegu
0,tel_0064.wav,Telugu cinema project nirmanam Lona Bomma,Telegu
0,tel_0065.wav,Raj Pramukh Sangeet Darshak TV Raja kumarudu,Telegu
0,tel_0066.wav,Yuvraj Sayani ke prasiddh chandanadi,Telegu
0,tel_0067.wav,Nani Telugu Wikipedia ko kutta,Telegu
0,tel_0068.wav,MI vixion Aaja beta Sayan to de dena thoda Lagan Matra mein,Telegu
0,tel_0069.wav,Dada Saheb Phalke award grahita Pradeep,Telegu
0,tel_0070.wav,vaaram parvatha tricky randi,Telegu
0,tel_0071.wav,Deva Paschim Godavari Jilla Penukonda Mandal Aane Ki Chinna Gramam,Telegu
0,tel_0072.wav,community channel Telugu chitralu Ku Ku K Raghavendra Rao Garu brisket vahin Charon,Telegu
0,tel_0073.wav,go Pata Mandi Ki Pata taka,Telegu
